Skill.Name,Skill.Type
Active Learning,Soft
Adaptability,Soft
Amazon Web Services,Tools
Apache Spark,Tools
AppEngine,Tools
Artificial Intelligence (AI),Hard
Assertiveness,Soft
AWS,Tools
Azure,Tools
Big Data,Hard
Boosting,Hard
Business Intelligence,Soft
C++,Tools
Cloudera,Tools
Collaboration,Soft
Communication,Soft
Computer Skills,Hard
Constructing Predictive Models,Hard
Consulting,Soft
Conveying Technical Information to Non-Technical People,Soft
CouchDB,Tools
Creating Algorithms,Hard
Creating Controls to Assure Accuracy of Data,Hard
Creative Thinking,Soft
Creativity,Soft
Critical Thinking,Soft
Cultivating Relationships with Internal and External Stakeholders,Soft
Curiosity,Soft
Customer Service,Soft
Data Analysis,Hard
Data Analytics,Hard
Data Intuition,Soft
Data Manipulation,Hard
Data Mining,Hard
Data Visualization,Hard
Data Wrangling,Hard
Database Management,Hard
Debugging,Hard
Decision Making,Soft
Decision Trees,Hard
DevOps,Hard
Documenting,Soft
Drawing Consensus,Soft
ECL,Tools
Evaluating New Analytical Methodologies,Hard
Executing in a Fast-Paced Environment,Soft
Facilitating Meetings,Soft
Flare,Tools
Generating Hypotheses,Soft
GLM/Regression,Hard
Google Cloud,Tools
Google Visualization API,Tools
Hadoop,Tools
HBase,Tools
Identifying Algorithms,Hard
Information Retrieval Data Sets,Hard
Innovation,Soft
Interpersonal Skills,Soft
Interpreting Data,Hard
Java,Tools
JavaScript,Tools
js,Tools
Judgement,Soft
Leadership,Soft
Linear Algebra,Hard
Logical Thinking,Soft
Machine Learning,Hard
Maintaining Algorithms,Hard
Mathematics,Hard
MATLAB,Tools
Matplotlib,Tools
Mentoring,Soft
Metrics,Hard
Microsoft Excel,Tools
Microsoft Office Suite,Tools
Mining Social Media Data,Hard
Modeling,Hard
Modeling Data,Hard
Modeling Tools,Tools
Multivariable Calculus,Hard
NoSQL,Tools
OpenRefine,Tools
Perceptiveness,Soft
Perl,Tools
PostGres,Tools
Presentation,Soft
Probability,Hard
Problem Solving,Soft
Programming,Hard
Project Management,Soft
Project Timelines,Soft
Providing Guidelines to IT Professionals,Soft
Python,Tools
Quantitative Analysis,Hard
R Programming,Tools
Random Forest,Hard
Reporting,Soft
Reporting Tool Software,Tools
Research,Soft
Risk Modeling,Hard
SaaS,Tools
SAS,Tools
Scripting Languages,Hard
Social Network Analysis,Hard
Software Engineering,Hard
SQL,Tools
Statistical Learning Models,Hard
Statistical Modeling,Hard
Statistics,Hard
Supervisory Skills,Soft
Tableau,Tools
Tables and Queries,Hard
TensorFlow,Tools
Testing Hypotheses,Hard
Text Mining,Hard
Training,Soft
Trees,Hard
VB,Tools
Verbal Communications,Soft
Working Independently,Soft
Written Communication,Soft
